Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7ff9b1c036c0, 108, 115, 111, 95, 103, 99
0x7ff9b1c03700, 106, 117, 110, 91, 99, 95
0x7ff9b1c03740, 95, 105, 99, 89, 97, 93
0x7ff9b1c03780, 106, 115, 109, 98, 105, 101
0x7ff9b1c037c0, 108, 119, 112, 96, 104, 99
0x7ff9b1c03800, 108, 115, 111, 96, 103, 99
0x7ff9b1c03840, 105, 114, 109, 98, 105, 101
0x7ff9b1c03880, 95, 128, 99, 88, 105, 91
0x7ff9b1c038c0, 105, 126, 109, 90, 99, 94
0x7ff9b1c03900, 108, 117, 112, 97, 103, 99
0x7ff9b1c03940, 105, 121, 109, 98, 105, 101
0x7ff9b1c03980, 96, 115, 99, 89, 97, 93
0x7ff9b1c039c0, 106, 115, 110, 92, 99, 95
0x7ff9b1c03a00, 108, 116, 111, 96, 102, 99
0x7ff9b1c03a40, 106, 113, 109, 98, 106, 102
0x7ff9b1c03a80, 95, 104, 99, 88, 95, 91
0x7ff9b1c03ac0, 105, 114, 109, 91, 99, 94
0x7ff9b1c03b00, 108, 117, 111, 97, 105, 99
0x7ff9b1c03b40, 105, 113, 109, 98, 105, 101
0x7ff9b1c03b80, 96, 105, 100, 89, 97, 93
0x7ff9b1c03bc0, 106, 115, 109, 91, 99, 95
0x7ff9b1c03c00, 105, 114, 109, 98, 105, 101
0x7ff9b1c03c40, 108, 117, 111, 95, 103, 99
0x7ff9b1c03c80, 104, 113, 108, 90, 97, 93
0x7ff9b1c03cc0, 95, 103, 98, 89, 95, 92
0x7ff9b1c03d00, 106, 115, 109, 98, 105, 101
0x7ff9b1c03d40, 108, 115, 111, 96, 104, 99
0x7ff9b1c03d80, 106, 115, 109, 92, 99, 95
0x7ff9b1c03dc0, 96, 107, 101, 89, 97, 93
0x7ff9b1c03e00, 106, 114, 109, 98, 105, 101
0x7ff9b1c03e40, 108, 144, 111, 95, 115, 99
0x7ff9b1c03e80, 104, 115, 109, 90, 99, 94
0x7ff9b1c03ec0, 94, 104, 99, 88, 121, 91
0x7ff9b1c03f00, 105, 111, 108, 98, 109, 101
0x7ff9b1c03f40, 108, 118, 112, 96, 104, 99
0x7ff9b1c03f80, 106, 114, 110, 92, 99, 95
0x7ff9b1c03fc0, 95, 104, 99, 89, 97, 93
0x7ff9b1c04000, 108, 117, 111, 96, 102, 99
0x7ff9b1c04040, 105, 113, 109, 98, 105, 101
0x7ff9b1c04080, 95, 105, 99, 88, 95, 91
0x7ff9b1c040c0, 105, 115, 109, 90, 99, 93
0x7ff9b1c04100, 108, 118, 112, 97, 103, 99
0x7ff9b1c04140, 106, 115, 109, 98, 106, 101
0x7ff9b1c04180, 96, 104, 99, 90, 97, 93
0x7ff9b1c041c0, 106, 116, 109, 92, 99, 95
0x7ff9b1c04200, 108, 117, 111, 96, 103, 99
0x7ff9b1c04240, 105, 114, 109, 98, 106, 101
0x7ff9b1c04280, 95, 104, 98, 88, 95, 91
0x7ff9b1c042c0, 106, 115, 109, 90, 99, 93
0x7ff9b1c04300, 108, 116, 112, 97, 103, 99
0x7ff9b1c04340, 105, 116, 109, 98, 105, 101
0x7ff9b1c04380, 96, 104, 99, 89, 97, 93
0x7ff9b1c043c0, 106, 113, 109, 92, 99, 95
0x7ff9b1c04400, 105, 115, 109, 98, 105, 101
0x7ff9b1c04440, 107, 124, 111, 95, 103, 99
0x7ff9b1c04480, 106, 115, 109, 91, 97, 94
0x7ff9b1c044c0, 95, 104, 98, 88, 95, 93
0x7ff9b1c04500, 102, 114, 106, 96, 103, 99
0x7ff9b1c04540, 106, 115, 109, 96, 104, 99
0x7ff9b1c04580, 106, 116, 110, 92, 99, 95
0x7ff9b1c045c0, 96, 103, 99, 89, 97, 93
0x7ff9b1c04600, 105, 112, 108, 98, 105, 101
0x7ff9b1c04640, 108, 117, 111, 96, 103, 99
0x7ff9b1c04680, 106, 115, 109, 91, 99, 94
0x7ff9b1c046c0, 95, 103, 97, 88, 95, 91
0x7ff9b1c04700, 106, 114, 109, 98, 105, 101
0x7ff9b1c04740, 108, 129, 112, 96, 104, 100
0x7ff9b1c04780, 106, 115, 109, 92, 99, 95
0x7ff9b1c047c0, 95, 105, 99, 90, 97, 93
0x7ff9b1c04800, 95, 105, 98, 89, 95, 91
0x7ff9b1c04840, 105, 112, 108, 90, 99, 94
0x7ff9b1c04880, 108, 117, 111, 96, 102, 99
0x7ff9b1c048c0, 104, 113, 109, 98, 107, 101
0x7ff9b1c04900, 96, 105, 99, 89, 97, 93
0x7ff9b1c04940, 107, 115, 110, 92, 99, 95
0x7ff9b1c04980, 109, 116, 112, 97, 104, 99
0x7ff9b1c049c0, 106, 115, 109, 98, 106, 101
0x7ff9b1c04a00, 95, 103, 98, 88, 95, 93
0x7ff9b1c04a40, 105, 115, 108, 90, 108, 94
0x7ff9b1c04a80, 108, 117, 111, 96, 103, 99
0x7ff9b1c04ac0, 106, 113, 109, 98, 106, 101
0x7ff9b1c04b00, 96, 105, 99, 90, 97, 93
0x7ff9b1c04b40, 106, 113, 109, 91, 99, 95
0x7ff9b1c04b80, 108, 115, 111, 97, 103, 99
0x7ff9b1c04bc0, 105, 113, 109, 98, 105, 101
0x7ff9b1c04c00, 104, 115, 107, 90, 99, 93
0x7ff9b1c04c40, 95, 105, 99, 89, 95, 93
0x7ff9b1c04c80, 106, 115, 109, 98, 105, 101
0x7ff9b1c04cc0, 108, 116, 111, 95, 103, 99
0x7ff9b1c04d00, 105, 115, 110, 92, 99, 95
0x7ff9b1c04d40, 96, 105, 99, 89, 97, 93
0x7ff9b1c04d80, 105, 113, 108, 98, 105, 101
0x7ff9b1c04dc0, 108, 118, 112, 96, 103, 99
0x7ff9b1c04e00, 104, 113, 108, 90, 97, 94
0x7ff9b1c04e40, 95, 103, 97, 88, 95, 91
0x7ff9b1c04e80, 105, 113, 108, 98, 105, 101
0x7ff9b1c04ec0, 108, 117, 111, 95, 103, 99
0x7ff9b1c04f00, 106, 116, 110, 92, 99, 95
0x7ff9b1c04f40, 95, 105, 99, 89, 97, 93
0x7ff9b1c04f80, 105, 113, 108, 98, 105, 101
0x7ff9b1c04fc0, 108, 117, 111, 96, 104, 99
0x7ff9b1c05000, 105, 127, 109, 98, 105, 101
0x7ff9b1c05040, 108, 118, 112, 96, 103, 99
0x7ff9b1c05080, 106, 115, 110, 92, 99, 95
0x7ff9b1c050c0, 96, 105, 99, 89, 97, 93
0x7ff9b1c05100, 105, 114, 109, 98, 105, 101
0x7ff9b1c05140, 108, 117, 111, 95, 103, 99
0x7ff9b1c05180, 104, 115, 108, 90, 99, 94
0x7ff9b1c051c0, 95, 104, 99, 88, 95, 91
0x7ff9b1c05200, 106, 115, 109, 98, 105, 101
0x7ff9b1c05240, 108, 118, 112, 96, 104, 100
0x7ff9b1c05280, 106, 116, 110, 92, 99, 95
0x7ff9b1c052c0, 95, 105, 99, 89, 97, 93
0x7ff9b1c05300, 105, 113, 109, 98, 105, 101
0x7ff9b1c05340, 107, 115, 111, 95, 104, 99
0x7ff9b1c05380, 104, 115, 108, 90, 97, 94
0x7ff9b1c053c0, 95, 102, 97, 88, 95, 91
0x7ff9b1c05400, 108, 117, 112, 97, 103, 99
0x7ff9b1c05440, 101, 113, 105, 96, 103, 99
0x7ff9b1c05480, 93, 103, 97, 89, 97, 93
0x7ff9b1c054c0, 106, 115, 110, 92, 99, 95
0x7ff9b1c05500, 107, 116, 111, 96, 103, 99
0x7ff9b1c05540, 105, 114, 109, 98, 105, 101
0x7ff9b1c05580, 95, 105, 98, 88, 95, 91
0x7ff9b1c055c0, 105, 115, 108, 90, 99, 94
0x7ff9b1c05600, 108, 129, 111, 97, 103, 99
0x7ff9b1c05640, 105, 115, 110, 98, 106, 101
0x7ff9b1c05680, 96, 105, 99, 89, 97, 93
0x7ff9b1c056c0, 106, 113, 109, 92, 99, 95
0x7ff9b1c05700, 108, 115, 111, 96, 102, 99
0x7ff9b1c05740, 106, 113, 109, 98, 106, 101
0x7ff9b1c05780, 95, 103, 97, 89, 97, 91
0x7ff9b1c057c0, 105, 113, 108, 90, 99, 93
0x7ff9b1c05800, 106, 115, 110, 92, 99, 95
0x7ff9b1c05840, 96, 105, 99, 89, 97, 93
0x7ff9b1c05880, 106, 114, 109, 98, 105, 101
0x7ff9b1c058c0, 108, 117, 112, 96, 103, 99
0x7ff9b1c05900, 104, 119, 108, 91, 97, 94
0x7ff9b1c05940, 95, 105, 98, 88, 95, 91
0x7ff9b1c05980, 105, 111, 109, 98, 105, 101
0x7ff9b1c059c0, 108, 115, 111, 95, 103, 99
0x7ff9b1c05a00, 106, 115, 109, 92, 99, 95
0x7ff9b1c05a40, 95, 105, 99, 90, 97, 93
