Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7f323a606b40, 91, 105, 95, 79, 85, 83
0x7f323a606b80, 93, 126, 97, 83, 97, 87
0x7f323a606bc0, 91, 106, 95, 85, 92, 89
0x7f323a606c00, 93, 109, 102, 81, 87, 83
0x7f323a606c40, 83, 99, 87, 79, 91, 81
0x7f323a606c80, 92, 100, 95, 85, 91, 89
0x7f323a606cc0, 95, 109, 98, 85, 91, 87
0x7f323a606d00, 91, 100, 95, 79, 91, 83
0x7f323a606d40, 83, 91, 87, 77, 83, 81
0x7f323a606d80, 92, 107, 95, 85, 92, 89
0x7f323a606dc0, 93, 103, 97, 83, 97, 87
0x7f323a606e00, 93, 100, 96, 81, 87, 83
0x7f323a606e40, 83, 107, 87, 77, 85, 81
0x7f323a606e80, 92, 99, 95, 85, 99, 89
0x7f323a606ec0, 93, 102, 98, 85, 91, 87
0x7f323a606f00, 91, 106, 95, 79, 86, 83
0x7f323a606f40, 81, 97, 85, 77, 91, 81
0x7f323a606f80, 92, 99, 95, 85, 93, 89
0x7f323a606fc0, 93, 109, 97, 83, 90, 87
0x7f323a607000, 92, 101, 95, 85, 99, 89
0x7f323a607040, 93, 108, 97, 83, 97, 87
0x7f323a607080, 91, 107, 95, 79, 86, 83
0x7f323a6070c0, 83, 89, 86, 77, 91, 81
0x7f323a607100, 92, 99, 95, 85, 93, 89
0x7f323a607140, 95, 109, 98, 85, 91, 87
0x7f323a607180, 93, 285, 102, 81, 87, 83
0x7f323a6071c0, 83, 93, 87, 79, 85, 81
0x7f323a607200, 92, 105, 95, 85, 91, 89
0x7f323a607240, 93, 107, 97, 83, 90, 87
0x7f323a607280, 92, 99, 95, 79, 86, 83
0x7f323a6072c0, 83, 97, 85, 77, 83, 81
0x7f323a607300, 92, 105, 95, 85, 96, 89
0x7f323a607340, 94, 102, 98, 85, 275, 89
0x7f323a607380, 93, 100, 97, 81, 87, 83
0x7f323a6073c0, 83, 97, 87, 79, 85, 81
0x7f323a607400, 93, 100, 97, 83, 90, 87
0x7f323a607440, 91, 107, 95, 85, 92, 89
0x7f323a607480, 83, 95, 88, 77, 83, 81
0x7f323a6074c0, 91, 99, 95, 79, 86, 83
0x7f323a607500, 95, 109, 98, 85, 91, 87
0x7f323a607540, 91, 105, 95, 85, 92, 89
0x7f323a607580, 83, 90, 87, 79, 85, 81
0x7f323a6075c0, 92, 113, 95, 81, 86, 83
0x7f323a607600, 93, 108, 97, 83, 95, 87
0x7f323a607640, 91, 108, 95, 85, 93, 89
0x7f323a607680, 83, 93, 89, 77, 83, 81
0x7f323a6076c0, 91, 106, 95, 79, 86, 83
0x7f323a607700, 95, 101, 99, 85, 91, 87
0x7f323a607740, 91, 106, 95, 85, 92, 89
0x7f323a607780, 85, 97, 89, 79, 92, 87
0x7f323a6077c0, 92, 115, 97, 81, 93, 84
0x7f323a607800, 91, 100, 95, 79, 86, 83
0x7f323a607840, 83, 97, 87, 77, 83, 81
0x7f323a607880, 92, 100, 95, 85, 99, 89
0x7f323a6078c0, 93, 100, 97, 83, 90, 87
0x7f323a607900, 92, 107, 96, 81, 87, 83
0x7f323a607940, 83, 91, 87, 79, 91, 81
0x7f323a607980, 92, 100, 95, 85, 91, 89
0x7f323a6079c0, 94, 108, 98, 85, 91, 87
0x7f323a607a00, 91, 98, 95, 79, 93, 83
0x7f323a607a40, 83, 92, 88, 77, 83, 81
0x7f323a607a80, 92, 106, 95, 85, 93, 89
0x7f323a607ac0, 93, 101, 97, 83, 97, 87
0x7f323a607b00, 93, 99, 95, 81, 87, 83
0x7f323a607b40, 83, 99, 87, 79, 85, 81
0x7f323a607b80, 92, 99, 95, 85, 99, 89
0x7f323a607bc0, 94, 102, 98, 85, 91, 87
0x7f323a607c00, 83, 97, 87, 77, 84, 81
0x7f323a607c40, 91, 99, 95, 79, 86, 83
0x7f323a607c80, 93, 100, 97, 83, 89, 87
