 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 93, 87, 98, 92, 103, 95
 85, 81, 89, 85, 103, 87
 93, 83, 99, 86, 111, 90
 97, 85, 101, 91, 112, 100
 95, 87, 98, 93, 102, 96
 85, 79, 89, 83, 99, 86
 92, 81, 97, 85, 110, 88
 95, 85, 100, 89, 104, 249
 93, 89, 97, 93, 102, 95
 85, 79, 91, 83, 99, 87
 93, 81, 99, 86, 103, 97
 96, 85, 100, 90, 104, 99
 93, 89, 99, 92, 102, 95
 93, 89, 98, 91, 109, 95
 95, 85, 101, 89, 104, 92
 93, 81, 97, 85, 101, 88
 85, 79, 89, 83, 93, 87
 93, 87, 98, 91, 102, 94
 97, 87, 101, 90, 105, 93
 95, 81, 99, 87, 103, 89
 85, 79, 91, 85, 94, 87
 93, 87, 98, 91, 102, 95
 95, 85, 101, 89, 104, 92
 93, 81, 97, 85, 107, 89
 85, 79, 95, 83, 101, 87
 93, 87, 98, 91, 109, 95
 95, 87, 101, 90, 111, 94
 95, 83, 99, 86, 102, 89
 85, 79, 89, 85, 97, 89
 95, 85, 100, 89, 103, 93
 93, 89, 97, 92, 102, 95
 85, 81, 89, 83, 93, 86
 92, 81, 97, 85, 102, 89
 95, 85, 100, 91, 104, 93
 93, 89, 98, 92, 103, 95
 85, 81, 89, 84, 93, 87
 95, 81, 99, 85, 103, 89
 95, 85, 100, 89, 103, 93
 93, 89, 97, 92, 101, 95
 85, 79, 89, 83, 93, 86
 93, 81, 97, 85, 102, 89
 96, 87, 101, 90, 104, 93
 93, 88, 98, 92, 102, 95
 85, 81, 90, 85, 93, 87
 93, 83, 99, 85, 111, 89
 93, 81, 97, 85, 261, 88
 85, 79, 89, 83, 93, 93
 93, 89, 102, 91, 109, 95
 95, 85, 100, 89, 115, 92
 95, 83, 99, 86, 110, 89
 85, 81, 89, 85, 93, 97
 93, 89, 97, 91, 101, 95
 95, 87, 103, 90, 113, 93
 93, 81, 97, 85, 102, 89
 85, 79, 89, 83, 93, 91
 93, 87, 98, 91, 101, 95
 95, 85, 100, 89, 115, 92
 94, 81, 99, 87, 103, 95
 85, 81, 90, 85, 93, 87
 93, 88, 98, 91, 108, 95
 95, 87, 101, 90, 109, 93
 83, 79, 88, 83, 92, 87
 93, 81, 97, 85, 102, 89
 95, 85, 100, 89, 104, 93
 93, 89, 97, 92, 102, 95
 85, 81, 89, 85, 93, 87
 94, 83, 99, 86, 102, 89
 97, 87, 101, 91, 112, 93
 93, 87, 97, 93, 103, 111
 85, 79, 89, 83, 103, 86
 93, 81, 97, 85, 123, 89
 95, 85, 101, 89, 111, 93
 93, 87, 97, 93, 105, 101
 85, 81, 91, 85, 101, 93
 94, 83, 99, 87, 106, 89
 97, 85, 101, 89, 112, 93
 93, 87, 97, 92, 104, 102
 97, 87, 101, 90, 112, 93
 93, 87, 97, 92, 104, 96
 85, 79, 91, 84, 99, 87
 93, 83, 97, 85, 109, 95
 95, 85, 100, 89, 106, 93
 93, 89, 99, 91, 103, 95
 85, 79, 89, 85, 251, 93
 92, 81, 97, 85, 109, 89
 97, 85, 101, 91, 107, 101
 93, 89, 98, 92, 103, 96
 85, 81, 91, 85, 101, 87
 94, 83, 99, 86, 111, 90
 95, 85, 100, 89, 105, 99
 93, 87, 97, 91, 107, 96
 85, 79, 89, 85, 99, 95
 93, 81, 97, 85, 108, 88
 93, 87, 97, 91, 105, 102
 95, 87, 101, 91, 109, 93
 94, 83, 99, 87, 107, 89
 85, 81, 91, 85, 105, 87
 93, 87, 97, 91, 107, 103
 95, 85, 99, 89, 109, 92
 93, 81, 97, 85, 108, 89
 85, 79, 89, 83, 95, 87
 93, 87, 98, 91, 105, 131
 95, 85, 101, 90, 106, 94
 95, 83, 99, 86, 106, 90
 85, 79, 89, 85, 123, 88
 93, 89, 98, 91, 107, 95
 95, 85, 101, 89, 107, 92
 93, 81, 98, 85, 107, 89
 83, 79, 87, 83, 95, 87
 85, 79, 89, 84, 97, 87
 93, 83, 99, 86, 107, 89
 96, 87, 101, 91, 110, 101
 93, 87, 98, 92, 109, 95
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 102, 89
 95, 85, 100, 89, 103, 93
 93, 87, 97, 92, 102, 95
 85, 81, 89, 84, 93, 87
 93, 83, 99, 86, 102, 89
 97, 87, 101, 90, 105, 93
 93, 89, 97, 92, 101, 95
 83, 79, 89, 83, 93, 86
 93, 81, 97, 85, 102, 89
 95, 85, 100, 89, 103, 93
 93, 87, 98, 92, 105, 95
 95, 83, 99, 86, 102, 89
 85, 81, 90, 85, 93, 87
 93, 89, 98, 91, 101, 96
 95, 87, 101, 91, 105, 93
 93, 81, 97, 85, 101, 95
 85, 79, 89, 83, 92, 87
 93, 87, 97, 91, 101, 95
 95, 85, 100, 89, 108, 92
 93, 81, 98, 85, 102, 90
 85, 81, 91, 85, 102, 87
 93, 87, 98, 91, 105, 95
 96, 87, 101, 90, 105, 93
 93, 81, 97, 85, 101, 89
 85, 79, 89, 83, 93, 87
 93, 89, 97, 91, 102, 95
 94, 85, 99, 89, 104, 92
 93, 83, 98, 86, 102, 90
 85, 81, 89, 85, 94, 87
 93, 89, 97, 91, 101, 103
 95, 87, 101, 90, 105, 93
 93, 81, 97, 85, 115, 89
 85, 79, 89, 83, 123, 87
 93, 87, 98, 91, 102, 95
 95, 85, 100, 89, 104, 91
 93, 83, 98, 86, 102, 89
 85, 81, 90, 85, 93, 93
 93, 87, 97, 91, 101, 96
 97, 87, 101, 90, 105, 94
 93, 81, 97, 85, 101, 90
 85, 79, 89, 83, 93, 95
 93, 87, 97, 91, 101, 95
 95, 85, 99, 89, 107, 92
 85, 81, 89, 85, 94, 90
 93, 81, 97, 86, 102, 89
 97, 85, 101, 90, 112, 93
 93, 87, 97, 91, 101, 95
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 102, 89
 95, 85, 100, 89, 107, 93
 93, 87, 98, 92, 102, 95
 85, 81, 90, 85, 93, 88
 93, 83, 99, 87, 102, 89
 97, 87, 101, 90, 108, 93
 93, 89, 97, 92, 102, 97
 85, 79, 89, 83, 93, 87
 93, 81, 97, 85, 102, 88
 95, 85, 99, 89, 103, 93
 93, 87, 97, 92, 101, 95
 93, 89, 98, 91, 101, 95
 95, 87, 101, 90, 110, 93
