 address, hash, clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 0x7f9a0f805940, 4, 93, 83, 97, 88, 101, 91
 0x7f9a0f805980, 7, 93, 79, 97, 83, 107, 88
 0x7f9a0f8059c0, 6, 83, 79, 87, 81, 98, 85
 0x7f9a0f805a00, 1, 92, 85, 97, 91, 100, 101
 0x7f9a0f805a40, 0, 94, 85, 99, 89, 103, 93
 0x7f9a0f805a80, 3, 93, 79, 97, 85, 108, 88
 0x7f9a0f805ac0, 2, 85, 79, 89, 83, 92, 91
 0x7f9a0f805b00, 5, 91, 87, 97, 91, 107, 93
 0x7f9a0f805b40, 4, 93, 83, 97, 87, 101, 91
 0x7f9a0f805b80, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f805bc0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f805c00, 0, 95, 85, 99, 89, 103, 92
 0x7f9a0f805c40, 1, 93, 85, 97, 89, 107, 93
 0x7f9a0f805c80, 2, 83, 77, 87, 83, 99, 91
 0x7f9a0f805cc0, 3, 93, 81, 98, 85, 102, 88
 0x7f9a0f805d00, 4, 93, 83, 97, 87, 101, 91
 0x7f9a0f805d40, 5, 93, 85, 97, 91, 107, 101
 0x7f9a0f805d80, 6, 83, 77, 87, 81, 95, 91
 0x7f9a0f805dc0, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f805e00, 0, 95, 85, 99, 89, 104, 91
 0x7f9a0f805e40, 1, 92, 87, 97, 90, 106, 93
 0x7f9a0f805e80, 2, 85, 77, 89, 83, 93, 93
 0x7f9a0f805ec0, 3, 93, 81, 97, 85, 102, 89
 0x7f9a0f805f00, 4, 94, 83, 99, 87, 109, 91
 0x7f9a0f805f40, 5, 93, 87, 97, 91, 132, 106
 0x7f9a0f805f80, 6, 83, 77, 87, 83, 91, 93
 0x7f9a0f805fc0, 7, 93, 81, 97, 83, 107, 87
 0x7f9a0f806000, 0, 94, 85, 99, 89, 108, 99
 0x7f9a0f806040, 1, 91, 87, 97, 91, 108, 93
 0x7f9a0f806080, 2, 83, 77, 89, 83, 93, 93
 0x7f9a0f8060c0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f806100, 4, 95, 83, 99, 87, 103, 91
 0x7f9a0f806140, 5, 92, 87, 97, 91, 107, 93
 0x7f9a0f806180, 6, 83, 77, 87, 81, 91, 91
 0x7f9a0f8061c0, 7, 91, 79, 97, 83, 101, 87
 0x7f9a0f806200, 0, 95, 83, 99, 87, 109, 91
 0x7f9a0f806240, 1, 93, 87, 97, 91, 107, 93
 0x7f9a0f806280, 2, 83, 77, 89, 83, 99, 86
 0x7f9a0f8062c0, 3, 93, 81, 97, 85, 101, 89
 0x7f9a0f806300, 4, 93, 85, 99, 87, 102, 91
 0x7f9a0f806340, 5, 92, 87, 97, 91, 100, 93
